Column1,Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Status,Satisfaction
0,IND02438,38%,0.53,2,157,3,,1,,sales,low,Left,0.38
1,IND28133,80%,0.86,5,262,6,,1,,sales,medium,Left,0.8
2,IND07164,11%,0.88,7,272,4,,1,,sales,medium,Left,0.11
3,IND30478,72%,0.87,5,223,5,,1,,sales,low,Left,0.72
4,IND24003,37%,0.52,2,159,3,,1,,sales,low,Left,0.37
5,IND08609,41%,0.5,2,153,3,,1,,sales,low,Left,0.41
6,IND14345,10%,0.77,6,247,4,,1,,sales,low,Left,0.1
7,IND16300,92%,0.85,5,259,5,,1,,sales,low,Left,0.92
8,IND27336,89%,1,5,224,5,,1,,sales,low,Left,0.89
9,IND41409,42%,0.53,2,142,3,,1,,sales,low,Left,0.42
10,IND01460,45%,0.54,2,135,3,,1,,sales,low,Left,0.45
11,IND07665,11%,0.81,6,305,4,,1,,sales,low,Left,0.11
12,IND13556,84%,0.92,4,234,5,,1,,sales,low,Left,0.84
13,IND20559,41%,0.55,2,148,3,,1,,sales,low,Left,0.41
14,IND12896,36%,0.56,2,137,3,,1,,sales,low,Left,0.36
15,IND18204,38%,0.54,2,143,3,,1,,sales,low,Left,0.38
16,IND43525,45%,0.47,2,160,3,,1,,sales,low,Left,0.45
17,IND21424,78%,0.99,4,255,6,,1,,sales,low,Left,0.78
18,IND40030,45%,0.51,2,160,3,1,1,1,sales,low,Left,0.45
19,IND22302,76%,0.89,5,262,5,,1,,sales,low,Left,0.76
20,IND24750,11%,0.83,6,282,4,,1,,sales,low,Left,0.11
21,IND08173,38%,0.55,2,147,3,,1,,sales,low,Left,0.38
22,IND21310,9%,0.95,6,304,4,,1,,sales,low,Left,0.09
23,IND24366,46%,0.57,2,139,3,,1,,sales,low,Left,0.46
24,IND06318,40%,0.53,2,158,3,,1,,sales,low,Left,0.4
25,IND22204,89%,0.92,5,242,5,,1,,sales,low,Left,0.89
26,IND41510,82%,0.87,4,239,5,,1,,sales,low,Left,0.82
27,IND02947,40%,0.49,2,135,3,,1,,sales,low,Left,0.4
28,IND21633,41%,0.46,2,128,3,,1,,accounting,low,Left,0.41
29,IND41210,38%,0.5,2,132,3,,1,,accounting,low,Left,0.38
30,IND17550,9%,0.62,6,294,4,,1,,accounting,low,Left,0.09
31,IND30016,45%,0.57,2,134,3,,1,,hr,low,Left,0.45
32,IND31764,40%,0.51,2,145,3,,1,,hr,low,Left,0.4
33,IND21118,45%,0.55,2,140,3,,1,,hr,low,Left,0.45
34,IND13230,84%,0.87,4,246,6,,1,,hr,low,Left,0.84
35,IND23503,10%,0.94,6,255,4,,1,,technical,low,Left,0.1
36,IND23009,38%,0.46,2,137,3,,1,,technical,low,Left,0.38
37,IND16251,45%,0.5,2,126,3,,1,,technical,low,Left,0.45
38,IND31502,11%,0.89,6,306,4,,1,,technical,low,Left,0.11
39,IND38874,41%,0.54,2,152,3,,1,,technical,low,Left,0.41
40,IND04297,87%,0.88,5,269,5,,1,,technical,low,Left,0.87
41,IND29124,45%,0.48,2,158,3,,1,,technical,low,Left,0.45
42,IND40935,40%,0.46,2,127,3,,1,,technical,low,Left,0.4
43,IND0463,10%,0.8,7,281,4,,1,,technical,low,Left,0.1
44,IND19955,9%,0.89,6,276,4,,1,,technical,low,Left,0.09
45,IND29898,84%,0.74,3,182,4,,1,,technical,low,Left,0.84
46,IND38961,40%,0.55,2,147,3,,1,,support,low,Left,0.4
47,IND44725,57%,0.7,3,273,6,,1,,support,low,Left,0.57
48,IND02198,40%,0.54,2,148,3,,1,,support,low,Left,0.4
49,IND24197,43%,0.47,2,147,3,,1,,support,low,Left,0.43
50,IND01835,13%,0.78,6,152,2,,1,,support,low,Left,0.13
51,IND09516,44%,0.55,2,135,3,,1,,support,low,Left,0.44
52,IND40870,38%,0.55,2,134,3,,1,,support,low,Left,0.38
53,IND21560,39%,0.54,2,132,3,,1,,support,low,Left,0.39
54,IND25217,10%,0.92,7,307,4,,1,,support,low,Left,0.1
55,IND37503,37%,0.46,2,140,3,,1,,support,low,Left,0.37
56,IND15216,11%,0.94,7,255,4,,1,,support,low,Left,0.11
57,IND21703,10%,0.81,6,309,4,,1,,technical,low,Left,0.1
58,IND25958,38%,0.54,2,128,3,,1,,technical,low,Left,0.38
59,IND30439,85%,1,4,225,5,,1,,technical,low,Left,0.85
60,IND32895,85%,0.91,5,226,5,,1,,management,medium,Left,0.85
61,IND36072,11%,0.93,7,308,4,,1,,IT,medium,Left,0.11
62,IND43578,10%,0.95,6,244,5,,1,,IT,medium,Left,0.1
63,IND30248,36%,0.56,2,132,3,,1,,IT,medium,Left,0.36
64,IND38757,11%,0.94,6,286,4,,1,,IT,medium,Left,0.11
65,IND26312,81%,0.7,6,161,4,,1,,IT,medium,Left,0.81
66,IND0234,43%,0.54,2,153,3,,1,,product_mng,medium,Left,0.43
67,IND18896,90%,0.98,4,264,6,,1,,product_mng,medium,Left,0.9
68,IND06323,76%,0.86,5,223,5,1,1,,product_mng,medium,Left,0.76
69,IND09616,43%,0.5,2,135,3,,1,,product_mng,medium,Left,0.43
70,IND05081,74%,0.99,2,277,3,,1,,IT,medium,Left,0.74
71,IND20622,9%,0.77,5,275,4,,1,,product_mng,medium,Left,0.09
72,IND24625,45%,0.49,2,149,3,,1,,product_mng,high,Left,0.45
73,IND34139,9%,0.87,7,295,4,,1,,product_mng,low,Left,0.09
74,IND11972,11%,0.97,6,277,4,,1,,product_mng,medium,Left,0.11
75,IND08365,11%,0.79,7,306,4,,1,,product_mng,medium,Left,0.11
76,IND30334,10%,0.83,6,295,4,,1,,product_mng,medium,Left,0.1
77,IND36638,40%,0.54,2,137,3,,1,,marketing,medium,Left,0.4
78,IND10308,43%,0.56,2,157,3,,1,,sales,low,Left,0.43
79,IND35179,39%,0.56,2,142,3,,1,,accounting,low,Left,0.39
80,IND09604,45%,0.54,2,140,3,,1,,support,low,Left,0.45
81,IND04427,38%,0.49,2,151,3,,1,,technical,low,Left,0.38
82,IND16967,79%,0.59,4,139,3,,1,1,management,low,Left,0.79
83,IND34303,84%,0.85,4,249,6,,1,,marketing,low,Left,0.84
84,IND37496,11%,0.77,6,291,4,,1,,marketing,low,Left,0.11
85,IND10898,11%,0.87,6,305,4,,1,,marketing,low,Left,0.11
86,IND36692,17%,0.84,5,232,3,,1,,sales,low,Left,0.17
87,IND19455,44%,0.45,2,132,3,,1,,sales,low,Left,0.44
88,IND27490,37%,0.57,2,130,3,,1,,sales,low,Left,0.37
89,IND17538,10%,0.79,6,291,4,,1,,sales,low,Left,0.1
90,IND24185,40%,0.5,2,130,3,,1,,sales,low,Left,0.4
91,IND36961,89%,1,5,246,5,,1,,sales,low,Left,0.89
92,IND02719,42%,0.48,2,143,3,,1,,sales,low,Left,0.42
93,IND05615,46%,0.55,2,129,3,,1,,sales,low,Left,0.46
94,IND09082,9%,0.83,6,255,4,,1,,sales,low,Left,0.09
95,IND24961,37%,0.51,2,155,3,,1,,sales,low,Left,0.37
96,IND27342,10%,0.77,6,265,4,,1,,sales,low,Left,0.1
97,IND27994,10%,0.84,6,279,4,,1,,sales,low,Left,0.1
98,IND10485,11%,0.97,6,284,4,,1,,sales,low,Left,0.11
99,IND16337,90%,1,5,221,6,,1,,sales,medium,Left,0.9
100,IND07521,38%,0.52,2,154,3,,1,,sales,medium,Left,0.38
101,IND10328,36%,0.52,2,147,3,,1,,sales,medium,Left,0.36
102,IND32485,42%,0.46,2,150,3,,1,,sales,medium,Left,0.42
103,IND34746,9%,0.94,7,267,4,,1,,sales,medium,Left,0.09
104,IND36536,43%,0.52,2,158,3,,1,,sales,medium,Left,0.43
105,IND06361,24%,0.46,7,224,5,,1,,accounting,medium,Left,0.24
106,IND12562,91%,1,4,257,5,,1,,accounting,medium,Left,0.91
107,IND22820,44%,0.5,2,148,3,,1,,accounting,medium,Left,0.44
108,IND27386,71%,0.87,3,177,4,,1,,hr,medium,Left,0.71
109,IND39001,40%,0.49,2,155,3,,1,,hr,medium,Left,0.4
110,IND04678,43%,0.47,2,144,3,,1,,hr,medium,Left,0.43
111,IND23073,9%,0.85,6,289,4,,1,,hr,high,Left,0.09
112,IND30104,43%,0.52,2,160,3,,1,,technical,low,Left,0.43
113,IND15117,90%,0.96,4,258,5,,1,,technical,medium,Left,0.9
114,IND38017,84%,1,5,234,5,,1,,technical,medium,Left,0.84
115,IND06875,37%,0.48,2,137,3,,1,,technical,medium,Left,0.37
116,IND21577,86%,0.68,5,263,2,,1,,technical,medium,Left,0.86
117,IND26914,11%,0.84,6,251,4,,1,,technical,low,Left,0.11
118,IND15804,37%,0.57,2,133,3,,1,,technical,low,Left,0.37
119,IND40954,40%,0.46,2,132,3,,1,,technical,low,Left,0.4
120,IND35990,14%,0.62,4,158,4,1,1,,technical,low,Left,0.14
121,IND37669,40%,0.46,2,135,3,,1,,technical,low,Left,0.4
122,IND36618,75%,1,4,216,6,,1,,technical,low,Left,0.75
123,IND05008,11%,0.84,6,300,5,1,1,,support,low,Left,0.11
124,IND03262,46%,0.49,2,138,3,,1,,support,low,Left,0.46
125,IND11117,11%,0.92,6,260,4,,1,,support,low,Left,0.11
126,IND28138,38%,0.49,2,132,3,,1,,support,low,Left,0.38
127,IND37226,70%,0.89,3,183,5,,1,,support,low,Left,0.7
128,IND0521,9%,0.82,6,250,4,,1,,support,low,Left,0.09
129,IND13372,37%,0.45,2,151,3,,1,,support,low,Left,0.37
130,IND17302,10%,0.83,6,292,4,,1,,support,low,Left,0.1
131,IND17471,38%,0.57,2,140,3,,1,,support,low,Left,0.38
132,IND0881,90%,1,5,221,5,,1,,support,low,Left,0.9
133,IND32175,44%,0.51,2,138,3,,1,,support,low,Left,0.44
134,IND39036,36%,0.5,2,132,3,,1,,technical,low,Left,0.36
135,IND04634,31%,0.84,7,133,5,,1,,technical,low,Left,0.31
136,IND19947,10%,0.84,6,283,4,1,1,,technical,low,Left,0.1
137,IND02513,42%,0.48,2,129,3,,1,,management,low,Left,0.42
138,IND14819,74%,1,4,249,5,,1,,IT,low,Left,0.74
139,IND18272,73%,0.87,5,257,5,,1,,IT,low,Left,0.73
140,IND05552,9%,0.96,6,245,4,,1,,IT,low,Left,0.09
141,IND18930,45%,0.53,2,155,3,,1,,IT,low,Left,0.45
142,IND21059,11%,0.8,6,256,4,,1,,IT,low,Left,0.11
143,IND30847,37%,0.47,2,152,3,,1,,product_mng,low,Left,0.37
144,IND37054,84%,0.99,4,267,5,,1,,product_mng,low,Left,0.84
145,IND01497,41%,0.46,2,151,3,,1,,product_mng,low,Left,0.41
146,IND09083,76%,0.92,4,239,5,,1,,product_mng,low,Left,0.76
147,IND02261,11%,0.87,6,306,4,,1,,IT,low,Left,0.11
148,IND16957,84%,0.88,4,263,5,1,1,,marketing,low,Left,0.84
149,IND17000,39%,0.5,2,147,3,,1,,marketing,low,Left,0.39
150,IND44713,11%,0.91,6,278,4,,1,,marketing,low,Left,0.11
151,IND21308,45%,0.56,2,154,3,,1,,marketing,low,Left,0.45
152,IND16549,37%,0.52,2,143,3,,1,,marketing,low,Left,0.37
153,IND16885,40%,0.52,2,155,3,,1,,marketing,low,Left,0.4
154,IND0303,39%,0.48,2,160,3,,1,,sales,low,Left,0.39
155,IND09693,11%,0.8,6,304,4,,1,,accounting,low,Left,0.11
156,IND15384,83%,1,5,240,5,,1,,support,low,Left,0.83
157,IND23381,11%,0.92,6,305,4,,1,,technical,low,Left,0.11
158,IND26259,39%,0.5,2,136,3,,1,,management,low,Left,0.39
159,IND14788,45%,0.45,2,132,3,,1,,marketing,low,Left,0.45
160,IND44000,10%,0.95,7,301,4,,1,,marketing,low,Left,0.1
161,IND14758,90%,0.98,5,243,6,,1,,marketing,low,Left,0.9
162,IND20741,45%,0.51,2,147,3,,1,,sales,low,Left,0.45
163,IND21140,79%,0.89,5,239,5,,1,,sales,low,Left,0.79
164,IND26885,90%,0.99,5,260,5,,1,,sales,low,Left,0.9
165,IND06026,11%,0.84,7,296,4,,1,,sales,low,Left,0.11
166,IND10990,43%,0.55,2,129,3,,1,,sales,low,Left,0.43
167,IND28377,31%,0.54,5,132,5,,1,,sales,low,Left,0.31
168,IND10806,32%,0.5,2,135,5,,1,,sales,low,Left,0.32
169,IND03259,45%,0.57,2,158,3,,1,,sales,low,Left,0.45
170,IND03963,81%,0.99,4,259,5,,1,,sales,low,Left,0.81
171,IND04181,41%,0.46,2,160,3,,1,1,sales,low,Left,0.41
172,IND31430,11%,0.78,7,278,4,,1,,sales,low,Left,0.11
173,IND31870,10%,0.88,6,284,4,,1,,sales,low,Left,0.1
174,IND44113,70%,0.53,2,274,4,,1,,sales,low,Left,0.7
175,IND02033,54%,0.74,4,164,2,,1,,sales,low,Left,0.54
176,IND34753,41%,0.48,2,148,3,,1,,sales,low,Left,0.41
177,IND35044,38%,0.5,2,140,3,,1,,sales,medium,Left,0.38
178,IND17131,37%,0.51,2,127,3,,1,,sales,medium,Left,0.37
179,IND29549,11%,0.85,6,308,5,,1,,sales,medium,Left,0.11
180,IND06962,40%,0.47,2,146,3,,1,,sales,medium,Left,0.4
181,IND08956,10%,0.84,6,261,4,,1,,accounting,medium,Left,0.1
182,IND23874,89%,0.99,5,257,5,,1,,accounting,medium,Left,0.89
183,IND28320,11%,0.8,6,285,4,,1,,accounting,medium,Left,0.11
184,IND43812,36%,0.55,2,141,3,,1,,hr,medium,Left,0.36
185,IND02857,40%,0.46,2,127,3,,1,,hr,medium,Left,0.4
186,IND09513,9%,0.85,6,297,4,,1,,hr,medium,Left,0.09
187,IND33556,40%,0.46,2,143,3,,1,,hr,medium,Left,0.4
188,IND38080,37%,0.55,2,152,3,,1,,technical,medium,Left,0.37
189,IND43469,44%,0.51,2,156,3,,1,,technical,high,Left,0.44
190,IND13463,9%,0.8,7,283,5,,1,,technical,low,Left,0.09
191,IND42799,92%,0.87,4,226,6,1,1,,technical,medium,Left,0.92
192,IND44570,74%,0.91,4,232,5,,1,,technical,medium,Left,0.74
193,IND33860,9%,0.82,6,249,4,,1,,technical,medium,Left,0.09
194,IND39257,89%,0.95,4,275,5,,1,,technical,medium,Left,0.89
195,IND28422,9%,0.8,6,304,4,,1,,technical,low,Left,0.09
196,IND12179,27%,0.54,7,278,3,,1,,technical,low,Left,0.27
197,IND16585,10%,0.91,6,287,4,,1,,technical,low,Left,0.1
198,IND25094,10%,0.89,7,285,4,,1,,technical,low,Left,0.1
199,IND18533,77%,0.94,5,226,6,,1,,support,low,Left,0.77
200,IND30817,90%,0.82,5,259,5,,1,,support,low,Left,0.9
201,IND06625,39%,0.5,2,135,3,,1,,support,low,Left,0.39
202,IND17330,76%,1,5,219,5,,1,,support,low,Left,0.76
203,IND26672,10%,0.93,6,256,4,,1,,support,low,Left,0.1
204,IND16687,87%,0.9,5,254,6,,1,,support,low,Left,0.87
205,IND19503,38%,0.5,2,153,3,,1,,support,low,Left,0.38
206,IND41222,77%,0.99,5,228,5,,1,,support,low,Left,0.77
207,IND07024,78%,0.87,4,228,5,,1,,support,low,Left,0.78
208,IND07912,44%,0.5,2,128,3,,1,,support,low,Left,0.44
209,IND28692,38%,0.52,2,153,3,,1,,support,low,Left,0.38
210,IND29058,43%,0.46,2,156,3,,1,,technical,low,Left,0.43
211,IND43494,39%,0.5,4,294,3,,1,,technical,low,Left,0.39
212,IND30367,88%,1,5,219,5,,1,,technical,low,Left,0.88
213,IND08292,45%,0.46,2,153,3,,1,,management,low,Left,0.45
214,IND27207,40%,0.53,2,151,3,,1,,IT,low,Left,0.4
215,IND16191,36%,0.51,2,155,3,,1,,IT,low,Left,0.36
216,IND0682,36%,0.48,2,158,3,,1,,IT,low,Left,0.36
217,IND28726,90%,0.98,5,245,5,,1,,IT,low,Left,0.9
218,IND05052,43%,0.53,2,131,3,,1,,IT,low,Left,0.43
219,IND31328,89%,0.87,5,225,5,,1,,product_mng,low,Left,0.89
220,IND01489,10%,0.84,6,286,4,,1,,product_mng,low,Left,0.1
221,IND06073,37%,0.5,2,135,3,,1,,product_mng,low,Left,0.37
222,IND30496,37%,0.51,2,153,3,,1,,product_mng,low,Left,0.37
223,IND41140,87%,0.9,5,252,5,,1,,IT,low,Left,0.87
224,IND08304,40%,0.56,2,149,3,,1,,accounting,low,Left,0.4
225,IND12729,90%,0.97,4,258,5,,1,,accounting,low,Left,0.9
226,IND20887,37%,0.46,2,158,3,,1,,hr,low,Left,0.37
227,IND35561,44%,0.54,2,149,3,,1,,hr,low,Left,0.44
228,IND42660,85%,0.95,5,236,5,,1,,hr,low,Left,0.85
229,IND24369,78%,0.98,5,239,6,,1,,marketing,low,Left,0.78
230,IND13224,42%,0.47,2,159,3,,1,,marketing,low,Left,0.42
231,IND14406,92%,0.99,5,255,6,,1,,sales,low,Left,0.92
232,IND34424,11%,0.83,6,244,4,,1,,accounting,low,Left,0.11
233,IND27347,42%,0.56,2,134,3,,1,,support,low,Left,0.42
234,IND35173,48%,0.57,4,270,4,,1,,technical,low,Left,0.48
235,IND38184,83%,0.85,4,255,5,,1,,management,low,Left,0.83
236,IND40084,40%,0.53,2,151,3,,1,,marketing,low,Left,0.4
237,IND06645,43%,0.45,2,135,3,,1,,marketing,low,Left,0.43
238,IND13460,43%,0.53,2,146,3,,1,,marketing,low,Left,0.43
239,IND29291,10%,0.97,7,254,4,,1,,sales,low,Left,0.1
240,IND42842,10%,0.87,7,289,4,,1,,sales,low,Left,0.1
241,IND10790,37%,0.46,2,156,3,,1,,sales,low,Left,0.37
242,IND36333,38%,0.53,2,156,3,,1,,sales,low,Left,0.38
243,IND09285,40%,0.5,2,128,3,,1,,sales,low,Left,0.4
244,IND04368,89%,0.86,5,275,5,,1,,sales,low,Left,0.89
245,IND16033,45%,0.46,2,155,3,,1,,sales,low,Left,0.45
246,IND18868,37%,0.48,2,159,3,,1,,sales,low,Left,0.37
247,IND17976,46%,0.49,2,148,3,,1,,sales,low,Left,0.46
248,IND31925,87%,0.91,4,228,5,,1,,sales,low,Left,0.87
249,IND0839,11%,0.84,6,298,4,,1,,sales,low,Left,0.11
250,IND36656,79%,0.87,5,261,5,,1,,sales,low,Left,0.79
251,IND38815,79%,0.92,5,254,6,,1,,sales,low,Left,0.79
252,IND05341,19%,0.59,7,192,3,,1,,sales,low,Left,0.19
253,IND20706,87%,0.98,4,248,5,,1,,sales,low,Left,0.87
254,IND29072,60%,0.92,2,258,5,,1,,sales,low,Left,0.6
255,IND37159,44%,0.45,2,156,3,,1,,sales,medium,Left,0.44
256,IND13032,11%,0.81,6,266,4,1,1,,sales,medium,Left,0.11
257,IND19562,42%,0.54,2,156,3,,1,,sales,medium,Left,0.42
258,IND29613,88%,0.88,5,232,5,1,1,,accounting,medium,Left,0.88
259,IND08344,11%,0.84,6,287,4,,1,,accounting,medium,Left,0.11
260,IND24283,46%,0.46,2,154,3,,1,,accounting,medium,Left,0.46
261,IND44438,82%,0.97,5,263,5,,1,,hr,medium,Left,0.82
262,IND30621,44%,0.56,2,131,3,,1,,hr,medium,Left,0.44
263,IND36430,11%,0.78,6,260,4,,1,,hr,medium,Left,0.11
264,IND0369,42%,0.5,2,139,3,,1,,hr,medium,Left,0.42
265,IND02505,84%,0.93,4,251,5,,1,,technical,medium,Left,0.84
266,IND36321,11%,0.95,6,286,4,,1,,technical,medium,Left,0.11
267,IND38100,45%,0.53,2,129,3,,1,,technical,high,Left,0.45
268,IND13212,38%,0.56,2,156,3,,1,,technical,low,Left,0.38
269,IND25228,38%,0.86,6,139,6,,1,,technical,medium,Left,0.38
270,IND35610,44%,0.51,2,127,3,,1,,technical,medium,Left,0.44
271,IND41403,11%,0.84,6,251,4,,1,,technical,medium,Left,0.11
272,IND44935,81%,0.93,5,270,5,,1,,technical,medium,Left,0.81
273,IND09041,9%,0.96,6,296,4,,1,,technical,low,Left,0.09
274,IND27858,11%,0.9,6,254,4,,1,,technical,low,Left,0.11
275,IND20480,81%,0.95,5,238,6,,1,,technical,low,Left,0.81
276,IND0818,10%,0.97,6,267,4,1,1,,support,low,Left,0.1
277,IND10394,74%,0.89,5,229,6,,1,,support,low,Left,0.74
278,IND28413,9%,0.78,6,254,4,,1,,support,low,Left,0.09
279,IND28709,82%,0.81,4,233,4,1,1,,support,low,Left,0.82
280,IND07271,10%,0.98,6,268,4,,1,,support,low,Left,0.1
281,IND07090,27%,0.56,3,301,3,,1,,support,low,Left,0.27
282,IND30375,83%,0.92,5,267,6,,1,,support,low,Left,0.83
283,IND19040,10%,0.93,6,289,4,1,1,,support,low,Left,0.1
284,IND30483,38%,0.47,2,144,3,,1,,support,low,Left,0.38
285,IND40879,40%,0.56,2,148,3,,1,,support,low,Left,0.4
